name: 0f250527-029e-44c7-9ad4-c076202dca2f num_items: 3990
token, class_id, token_value, token_tf, token_df
manual, @default_class, 1.4136619938653894e-05, 49.0, 34.0
прибегать, @default_class, 1.8464157619746402e-05, 64.0, 64.0
полигон, @default_class, 2.6253723262925632e-05, 91.0, 32.0
дублирование, @default_class, 2.1926187400822528e-05, 76.0, 53.0
виджет, @default_class, 6.173952715471387e-05, 214.0, 52.0
сравнительно, @default_class, 3.115826621069573e-05, 108.0, 91.0
сокращение, @default_class, 7.241411367431283e-05, 251.0, 183.0
генеральный, @default_class, 5.712348502129316e-05, 198.0, 103.0
связка, @default_class, 5.1930441259173676e-05, 180.0, 135.0
обстоятельство, @default_class, 4.558338696369901e-05, 158.0, 136.0
сформулировать, @default_class, 4.5006381697021425e-05, 156.0, 124.0
звонок, @default_class, 0.00013184561976231635, 457.0, 171.0
ггц, @default_class, 5.972000872134231e-05, 207.0, 71.0
роман, @default_class, 2.7119231162942015e-05, 94.0, 61.0
набрать, @default_class, 5.1064933359157294e-05, 177.0, 133.0
достаться, @default_class, 2.134918213414494e-05, 74.0, 63.0
фонд, @default_class, 5.308445179252885e-05, 184.0, 101.0
публиковать, @default_class, 7.587614527437836e-05, 263.0, 188.0
максим, @default_class, 3.173527147737332e-05, 110.0, 54.0
слух, @default_class, 5.308445179252885e-05, 184.0, 125.0
феномен, @default_class, 2.134918213414494e-05, 74.0, 53.0
корректировка, @default_class, 1.6156138372025453e-05, 56.0, 47.0
done, @default_class, 6.49130524834618e-05, 225.0, 79.0
сезон, @default_class, 3.260077573941089e-05, 113.0, 66.0
пропасть, @default_class, 3.173527147737332e-05, 110.0, 101.0
рано, @default_class, 5.683498238795437e-05, 197.0, 175.0
негативно, @default_class, 1.7887152353068814e-05, 62.0, 56.0
звучание, @default_class, 3.2889278372749686e-05, 114.0, 47.0
препарат, @default_class, 4.9910926463780925e-05, 173.0, 47.0
советовать, @default_class, 6.49130524834618e-05, 225.0, 191.0
обходиться, @default_class, 3.173527147737332e-05, 110.0, 102.0
выбираться, @default_class, 3.4908796806121245e-05, 121.0, 98.0
грань, @default_class, 4.0967348468257114e-05, 142.0, 98.0
срез, @default_class, 2.2791693481849506e-05, 79.0, 43.0
default, @default_class, 0.000157233836944215, 545.0, 170.0
имплементация, @default_class, 1.7310147086391225e-05, 60.0, 35.0
dev, @default_class, 3.865932740154676e-05, 134.0, 54.0
клавиш, @default_class, 6.02970139880199e-05, 209.0, 102.0
ориентировать, @default_class, 5.8565998187987134e-05, 203.0, 157.0
наблюдатель, @default_class, 4.327536953496747e-05, 150.0, 62.0
отказываться, @default_class, 4.212135900161229e-05, 146.0, 131.0
модный, @default_class, 2.6542225896264426e-05, 92.0, 85.0
анализатор, @default_class, 0.00012376756058074534, 429.0, 74.0
очки, @default_class, 7.703015580773354e-05, 267.0, 101.0
beta, @default_class, 1.932966370077338e-05, 67.0, 30.0
экзамен, @default_class, 3.0869763577356935e-05, 107.0, 30.0
setup, @default_class, 3.750532050617039e-05, 130.0, 64.0
ах, @default_class, 1.3271112948132213e-05, 46.0, 43.0
128, @default_class, 6.347054295474663e-05, 220.0, 113.0
видимость, @default_class, 8.655073906993493e-05, 300.0, 135.0
освещение, @default_class, 8.135769166983664e-05, 282.0, 109.0
доказательство, @default_class, 7.587614527437836e-05, 263.0, 146.0
сойти, @default_class, 1.7887152353068814e-05, 62.0, 58.0
дописать, @default_class, 1.6156138372025453e-05, 56.0, 53.0
интуитивно, @default_class, 2.856174251064658e-05, 99.0, 89.0
открыться, @default_class, 3.462029417278245e-05, 120.0, 99.0
познание, @default_class, 1.2694107681454625e-05, 44.0, 37.0
переключить, @default_class, 1.4425122571992688e-05, 50.0, 44.0
признавать, @default_class, 1.8752660253085196e-05, 65.0, 62.0
обзорный, @default_class, 1.4425122571992688e-05, 50.0, 41.0
завоевать, @default_class, 1.2982610314793419e-05, 45.0, 41.0
azure, @default_class, 9.809083712752908e-05, 340.0, 73.0
банковский, @default_class, 7.212561467895284e-05, 250.0, 151.0
exception, @default_class, 6.058551662135869e-05, 210.0, 70.0
значимый, @default_class, 5.510397022590041e-05, 191.0, 146.0
визуализация, @default_class, 6.693256727885455e-05, 232.0, 136.0
agent, @default_class, 3.3466283639427274e-05, 116.0, 37.0
упоминаться, @default_class, 3.9524835301563144e-05, 137.0, 114.0
полнота, @default_class, 1.6444639186374843e-05, 57.0, 51.0
характерный, @default_class, 5.741198765463196e-05, 199.0, 173.0
admin, @default_class, 7.818416634108871e-05, 271.0, 52.0
объектный, @default_class, 1.5579133105347864e-05, 54.0, 36.0
вынести, @default_class, 5.7988992921309546e-05, 201.0, 169.0
json, @default_class, 0.00014223171456251293, 493.0, 176.0
policy, @default_class, 2.8850245143985376e-05, 100.0, 43.0
41, @default_class, 1.7887152353068814e-05, 62.0, 47.0
go, @default_class, 0.00023022496316116303, 798.0, 149.0
восторг, @default_class, 1.3271112948132213e-05, 46.0, 41.0
высокоуровневый, @default_class, 3.058126094401814e-05, 106.0, 58.0
machine, @default_class, 4.558338696369901e-05, 158.0, 80.0
пониматься, @default_class, 1.4425122571992688e-05, 50.0, 46.0
ежегодный, @default_class, 2.1637684767483734e-05, 75.0, 64.0
позитивный, @default_class, 3.144676884403452e-05, 109.0, 89.0
пилот, @default_class, 2.6253723262925632e-05, 91.0, 34.0
динамик, @default_class, 6.462455348810181e-05, 224.0, 137.0
связаться, @default_class, 3.115826621069573e-05, 108.0, 90.0
ассистент, @default_class, 1.759864971973002e-05, 61.0, 37.0
линк, @default_class, 2.4234206648543477e-05, 84.0, 35.0
минимизация, @default_class, 1.904116288642399e-05, 66.0, 56.0
совокупность, @default_class, 2.740773379628081e-05, 95.0, 80.0
печальный, @default_class, 1.6156138372025453e-05, 56.0, 50.0
настать, @default_class, 3.260077573941089e-05, 113.0, 103.0
неудачный, @default_class, 3.606280733947642e-05, 125.0, 105.0
next, @default_class, 8.481972326990217e-05, 294.0, 102.0
улучшаться, @default_class, 9.809083167056087e-06, 34.0, 31.0
перечисление, @default_class, 2.2503190848510712e-05, 78.0, 36.0
расставить, @default_class, 1.4713625205331482e-05, 51.0, 46.0
спать, @default_class, 5.625797712127678e-05, 195.0, 140.0
чехол, @default_class, 1.3848118214809801e-05, 48.0, 31.0
лёд, @default_class, 4.3852374801645055e-05, 152.0, 41.0
обладатель, @default_class, 1.6444639186374843e-05, 57.0, 52.0
исполнительный, @default_class, 2.134918213414494e-05, 74.0, 54.0
summary, @default_class, 4.212135900161229e-05, 146.0, 33.0
link, @default_class, 7.126010314095765e-05, 247.0, 80.0
неожиданно, @default_class, 3.606280733947642e-05, 125.0, 112.0
сеанс, @default_class, 1.5579133105347864e-05, 54.0, 40.0
треугольник, @default_class, 3.2889278372749686e-05, 114.0, 45.0
армия, @default_class, 2.683072852960322e-05, 93.0, 64.0
читалка, @default_class, 2.1926187400822528e-05, 76.0, 41.0
opengl, @default_class, 2.7696236429619603e-05, 96.0, 30.0
расшифровать, @default_class, 2.0195171600789763e-05, 70.0, 52.0
стабилизация, @default_class, 2.1637684767483734e-05, 75.0, 40.0
container, @default_class, 3.058126094401814e-05, 106.0, 40.0
пропускать, @default_class, 4.817991066374816e-05, 167.0, 117.0
регистрироваться, @default_class, 2.2503190848510712e-05, 78.0, 61.0
инициатива, @default_class, 4.0967348468257114e-05, 142.0, 102.0
поддержание, @default_class, 3.260077573941089e-05, 113.0, 102.0
неотъемлемый, @default_class, 1.8464157619746402e-05, 64.0, 56.0
заложить, @default_class, 4.7025900130392984e-05, 163.0, 138.0
хитрый, @default_class, 3.4908796806121245e-05, 121.0, 111.0
итоговый, @default_class, 5.164193862583488e-05, 179.0, 132.0
check, @default_class, 5.5680975492578e-05, 193.0, 78.0
разметка, @default_class, 5.5680975492578e-05, 193.0, 94.0
docker, @default_class, 0.00012319054803811014, 427.0, 71.0
выражаться, @default_class, 1.759864971973002e-05, 61.0, 55.0
ограничиваться, @default_class, 3.72168178728316e-05, 129.0, 118.0
подтолкнуть, @default_class, 1.0386088433733676e-05, 36.0, 36.0
развивающийся, @default_class, 1.6733141819713637e-05, 58.0, 57.0
паттерн, @default_class, 8.049218740779907e-05, 279.0, 142.0
надолго, @default_class, 1.4425122571992688e-05, 50.0, 48.0
беспокойство, @default_class, 1.067459106707247e-05, 37.0, 33.0
необычный, @default_class, 7.126010314095765e-05, 247.0, 199.0
client, @default_class, 9.116677392739803e-05, 316.0, 83.0
найм, @default_class, 2.3945704015204683e-05, 83.0, 54.0
slack, @default_class, 3.462029417278245e-05, 120.0, 46.0
command, @default_class, 9.434030653210357e-05, 327.0, 108.0
ооо, @default_class, 5.0487928092479706e-05, 175.0, 34.0
нагрузить, @default_class, 1.1828600690932944e-05, 41.0, 38.0
прилетать, @default_class, 1.1828600690932944e-05, 41.0, 32.0
search, @default_class, 2.2791693481849506e-05, 79.0, 50.0
udp, @default_class, 4.0967348468257114e-05, 142.0, 47.0
знакомство, @default_class, 4.817991066374816e-05, 167.0, 141.0
якобы, @default_class, 2.2791693481849506e-05, 79.0, 66.0
проводник, @default_class, 1.8752660253085196e-05, 65.0, 34.0
master, @default_class, 7.3568124207668e-05, 255.0, 77.0
экономика, @default_class, 5.683498238795437e-05, 197.0, 114.0
разбитый, @default_class, 2.6542225896264426e-05, 92.0, 80.0
разбор, @default_class, 8.020368113648146e-05, 278.0, 184.0
view, @default_class, 9.434030653210357e-05, 327.0, 110.0
распределенный, @default_class, 7.674165681237355e-05, 266.0, 131.0
солнечный, @default_class, 0.00013299963029567152, 461.0, 159.0
объявление, @default_class, 9.347479499410838e-05, 324.0, 158.0
упрощение, @default_class, 4.61603922303766e-05, 160.0, 147.0
пул, @default_class, 7.44336357456632e-05, 258.0, 93.0
52, @default_class, 1.6733141819713637e-05, 58.0, 48.0
module, @default_class, 5.279594915919006e-05, 183.0, 71.0
настольный, @default_class, 4.298686690162867e-05, 149.0, 95.0
перебор, @default_class, 4.471787906368263e-05, 155.0, 74.0
security, @default_class, 8.597373380325735e-05, 298.0, 132.0
удачно, @default_class, 2.077217686746735e-05, 72.0, 64.0
захотеться, @default_class, 3.462029417278245e-05, 120.0, 114.0
ok, @default_class, 0.00010126436245627701, 351.0, 88.0
жена, @default_class, 4.414087743498385e-05, 153.0, 90.0
накопление, @default_class, 2.3368698748527095e-05, 81.0, 57.0
наименование, @default_class, 3.375478627276607e-05, 117.0, 66.0
неизбежно, @default_class, 1.990666896745097e-05, 69.0, 66.0
взрыв, @default_class, 5.1064933359157294e-05, 177.0, 88.0
вставляться, @default_class, 1.6733141819713637e-05, 58.0, 50.0
превышение, @default_class, 1.8752660253085196e-05, 65.0, 55.0
object, @default_class, 0.000213203311432153, 739.0, 149.0
ося, @default_class, 7.587614527437836e-05, 263.0, 125.0
твой, @default_class, 6.577855674549937e-05, 228.0, 136.0
внедрить, @default_class, 7.501064101234078e-05, 260.0, 194.0
инкапсулировать, @default_class, 1.1828600690932944e-05, 41.0, 31.0
формальный, @default_class, 3.9524835301563144e-05, 137.0, 84.0
наследование, @default_class, 3.548580207279883e-05, 123.0, 56.0
останавливать, @default_class, 2.4811211915221065e-05, 86.0, 72.0
перечень, @default_class, 3.115826621069573e-05, 108.0, 90.0
foreach, @default_class, 6.635556201217696e-05, 230.0, 61.0
исполнитель, @default_class, 5.0487928092479706e-05, 175.0, 79.0
коллектив, @default_class, 3.202377411071211e-05, 111.0, 78.0
шапка, @default_class, 1.4425122571992688e-05, 50.0, 37.0
bluetooth, @default_class, 4.9333921197103336e-05, 171.0, 91.0
best, @default_class, 2.3368698748527095e-05, 81.0, 63.0
исследовать, @default_class, 6.808657781220973e-05, 236.0, 175.0
местами, @default_class, 3.606280733947642e-05, 125.0, 94.0
дождаться, @default_class, 2.30801961151883e-05, 80.0, 73.0
коснуться, @default_class, 2.077217686746735e-05, 72.0, 66.0
фигурировать, @default_class, 9.232078809873201e-06, 32.0, 30.0
удаляться, @default_class, 3.8947830034885556e-05, 135.0, 112.0
бухгалтерия, @default_class, 1.8175654986407608e-05, 63.0, 46.0
итерация, @default_class, 9.23207844607532e-05, 320.0, 130.0
info, @default_class, 0.00010876542364712805, 377.0, 112.0
помещаться, @default_class, 3.0869763577356935e-05, 107.0, 90.0
21, @default_class, 7.674165681237355e-05, 266.0, 184.0
сместить, @default_class, 1.0963093700411264e-05, 38.0, 32.0
задуматься, @default_class, 5.221894389251247e-05, 181.0, 163.0
поздно, @default_class, 5.423846232588403e-05, 188.0, 166.0
считываться, @default_class, 1.1251595424255356e-05, 39.0, 35.0
яркий, @default_class, 8.626223279861733e-05, 299.0, 190.0
мода, @default_class, 2.509971454855986e-05, 87.0, 67.0
кликать, @default_class, 1.702164445305243e-05, 59.0, 46.0
десяток, @default_class, 6.664406828349456e-05, 231.0, 193.0
html5, @default_class, 2.0483674234128557e-05, 71.0, 38.0
остро, @default_class, 1.0386088433733676e-05, 36.0, 35.0
rm, @default_class, 2.2791693481849506e-05, 79.0, 40.0
присутствующий, @default_class, 1.2405605957610533e-05, 43.0, 36.0
инвестиция, @default_class, 8.424271800322458e-05, 292.0, 161.0
скотт, @default_class, 1.4425122571992688e-05, 50.0, 33.0
радиация, @default_class, 1.6156138372025453e-05, 56.0, 30.0
ответственный, @default_class, 5.3949959692545235e-05, 187.0, 131.0
log, @default_class, 5.5680975492578e-05, 193.0, 70.0
pc, @default_class, 4.587188959703781e-05, 159.0, 78.0
горизонтальный, @default_class, 4.760290539707057e-05, 165.0, 111.0
определиться, @default_class, 5.481546759256162e-05, 190.0, 158.0
космос, @default_class, 0.00010789991938509047, 374.0, 156.0
foo, @default_class, 5.8565998187987134e-05, 203.0, 42.0
keys, @default_class, 3.462029417278245e-05, 120.0, 34.0
особенный, @default_class, 3.548580207279883e-05, 123.0, 112.0
облегчить, @default_class, 4.0390343201579526e-05, 140.0, 128.0
async, @default_class, 2.7696236429619603e-05, 96.0, 38.0
накопиться, @default_class, 1.6444639186374843e-05, 57.0, 53.0
громкий, @default_class, 3.2312276744050905e-05, 112.0, 84.0
контракт, @default_class, 7.270261994563043e-05, 252.0, 115.0
боль, @default_class, 0.00011684349738061428, 405.0, 140.0
service, @default_class, 0.00014107770402915776, 489.0, 199.0
периодически, @default_class, 6.404754822142422e-05, 222.0, 195.0
масштабирование, @default_class, 5.366145705920644e-05, 186.0, 120.0
независимо, @default_class, 6.808657781220973e-05, 236.0, 192.0
state, @default_class, 0.00013732716615777463, 476.0, 130.0
смс, @default_class, 2.9715753044001758e-05, 103.0, 42.0
чудо, @default_class, 3.115826621069573e-05, 108.0, 98.0
ssh, @default_class, 7.731865480309352e-05, 268.0, 97.0
присваивать, @default_class, 1.702164445305243e-05, 59.0, 45.0
ричард, @default_class, 1.3559615581471007e-05, 47.0, 37.0
воссоздать, @default_class, 9.809083167056087e-06, 34.0, 32.0
напоследок, @default_class, 2.4234206648543477e-05, 84.0, 81.0
аналогия, @default_class, 4.760290539707057e-05, 165.0, 134.0
читаемость, @default_class, 1.3848118214809801e-05, 48.0, 41.0
тонна, @default_class, 4.7891408030409366e-05, 166.0, 90.0
мгновенно, @default_class, 3.375478627276607e-05, 117.0, 98.0
получатель, @default_class, 6.145102088339627e-05, 213.0, 74.0
гипотетический, @default_class, 1.0097585800394882e-05, 35.0, 33.0
фрейм, @default_class, 2.6253723262925632e-05, 91.0, 31.0
радиус, @default_class, 4.0967348468257114e-05, 142.0, 79.0
подсказывать, @default_class, 1.6444639186374843e-05, 57.0, 54.0
партнерство, @default_class, 1.2405605957610533e-05, 43.0, 31.0
пошаговый, @default_class, 3.058126094401814e-05, 106.0, 78.0
всячески, @default_class, 9.520581443211995e-06, 33.0, 32.0
package, @default_class, 6.462455348810181e-05, 224.0, 73.0
отступ, @default_class, 2.0195171600789763e-05, 70.0, 34.0
уважать, @default_class, 1.3559615581471007e-05, 47.0, 41.0
снятой, @default_class, 2.3368698748527095e-05, 81.0, 67.0
j, @default_class, 0.00020858726929873228, 723.0, 79.0
сектор, @default_class, 7.010609988356009e-05, 243.0, 118.0
остановка, @default_class, 4.125585110159591e-05, 143.0, 101.0
заражение, @default_class, 2.6253723262925632e-05, 91.0, 50.0
желаемый, @default_class, 3.519729943946004e-05, 122.0, 105.0
присваиваться, @default_class, 1.7887152353068814e-05, 62.0, 52.0
hostname, @default_class, 2.0483674234128557e-05, 71.0, 34.0
use, @default_class, 0.00015175229054875672, 526.0, 193.0
хакерский, @default_class, 2.30801961151883e-05, 80.0, 51.0
сопровождение, @default_class, 2.8273239877307788e-05, 98.0, 70.0
force, @default_class, 1.586763573868666e-05, 55.0, 35.0
совместно, @default_class, 6.549005775013939e-05, 227.0, 194.0
mark, @default_class, 1.904116288642399e-05, 66.0, 38.0
подтверждение, @default_class, 8.251170220319182e-05, 286.0, 199.0
уютный, @default_class, 9.232078809873201e-06, 32.0, 32.0
вооружение, @default_class, 1.8175654986407608e-05, 63.0, 47.0
исправно, @default_class, 9.520581443211995e-06, 33.0, 31.0
репликация, @default_class, 5.423846232588403e-05, 188.0, 54.0
кластер, @default_class, 0.0001990666933124885, 690.0, 148.0
привязка, @default_class, 6.606706301681697e-05, 229.0, 133.0
соглашение, @default_class, 5.827749555464834e-05, 202.0, 131.0
эмуляция, @default_class, 2.2791693481849506e-05, 79.0, 49.0
flow, @default_class, 3.9524835301563144e-05, 137.0, 50.0
отражать, @default_class, 6.693256727885455e-05, 232.0, 180.0
издание, @default_class, 4.9333921197103336e-05, 171.0, 121.0
скомпрометировать, @default_class, 2.4234206648543477e-05, 84.0, 39.0
ум, @default_class, 6.318203668342903e-05, 219.0, 185.0
опрос, @default_class, 8.626223279861733e-05, 299.0, 171.0
скидка, @default_class, 0.00019704717851709574, 683.0, 198.0
железка, @default_class, 2.30801961151883e-05, 80.0, 52.0
include, @default_class, 0.0001658889086684212, 575.0, 129.0
отработать, @default_class, 4.15443537349347e-05, 144.0, 101.0
повреждение, @default_class, 4.9333921197103336e-05, 171.0, 106.0
фокусировка, @default_class, 1.586763573868666e-05, 55.0, 32.0
слот, @default_class, 6.202802615007386e-05, 215.0, 91.0
datetime, @default_class, 5.6546479754615575e-05, 196.0, 46.0
qa, @default_class, 2.30801961151883e-05, 80.0, 33.0
заказать, @default_class, 5.423846232588403e-05, 188.0, 140.0
различие, @default_class, 7.501064101234078e-05, 260.0, 176.0
localhost, @default_class, 2.4234206648543477e-05, 84.0, 45.0
samsung, @default_class, 8.222320320783183e-05, 285.0, 121.0
architecture, @default_class, 2.3368698748527095e-05, 81.0, 45.0
ныне, @default_class, 1.6733141819713637e-05, 58.0, 49.0
export, @default_class, 6.49130524834618e-05, 225.0, 60.0
рисковать, @default_class, 2.7984739062958397e-05, 97.0, 89.0
соперник, @default_class, 1.586763573868666e-05, 55.0, 34.0
перенести, @default_class, 6.866358307888731e-05, 238.0, 185.0
обеспечиваться, @default_class, 2.4234206648543477e-05, 84.0, 72.0
перекрывать, @default_class, 1.154009805759415e-05, 40.0, 39.0
корректно, @default_class, 6.087401925469749e-05, 211.0, 170.0
совпадение, @default_class, 3.462029417278245e-05, 120.0, 89.0
комплекс, @default_class, 7.212561467895284e-05, 250.0, 169.0
перенос, @default_class, 7.183710840763524e-05, 249.0, 158.0
снятие, @default_class, 2.7984739062958397e-05, 97.0, 64.0
iot, @default_class, 7.731865480309352e-05, 268.0, 80.0
повторить, @default_class, 6.260503141675144e-05, 217.0, 175.0
прикладной, @default_class, 3.750532050617039e-05, 130.0, 93.0
simple, @default_class, 2.4811211915221065e-05, 86.0, 54.0
e, @default_class, 0.0002550361678004265, 884.0, 178.0
props, @default_class, 6.404754822142422e-05, 222.0, 33.0
лекарство, @default_class, 4.3852374801645055e-05, 152.0, 60.0
профильный, @default_class, 2.0483674234128557e-05, 71.0, 46.0
воедино, @default_class, 1.154009805759415e-05, 40.0, 36.0
модернизировать, @default_class, 9.232078809873201e-06, 32.0, 31.0
толчок, @default_class, 1.1828600690932944e-05, 41.0, 38.0
extension, @default_class, 1.8752660253085196e-05, 65.0, 41.0
пассажир, @default_class, 3.750532050617039e-05, 130.0, 58.0
акселерометр, @default_class, 2.2214688215171918e-05, 77.0, 33.0
исчезнуть, @default_class, 3.375478627276607e-05, 117.0, 107.0
здоровье, @default_class, 7.501064101234078e-05, 260.0, 152.0
подборка, @default_class, 5.019942909711972e-05, 174.0, 119.0
отклонение, @default_class, 4.9910926463780925e-05, 173.0, 95.0
немецкий, @default_class, 4.0390343201579526e-05, 140.0, 92.0
аэропорт, @default_class, 2.913874777732417e-05, 101.0, 57.0
спрашивать, @default_class, 7.212561467895284e-05, 250.0, 192.0
излишний, @default_class, 2.913874777732417e-05, 101.0, 94.0
tls, @default_class, 1.8752660253085196e-05, 65.0, 36.0
клавиатура, @default_class, 0.00013934668095316738, 483.0, 157.0
доставить, @default_class, 3.923633266822435e-05, 136.0, 118.0
выносить, @default_class, 1.702164445305243e-05, 59.0, 56.0
новичок, @default_class, 8.164619794115424e-05, 283.0, 188.0
методика, @default_class, 8.79932485986501e-05, 305.0, 172.0
param, @default_class, 0.00010039885819423944, 348.0, 48.0
template, @default_class, 6.92405883455649e-05, 240.0, 51.0
различать, @default_class, 1.8752660253085196e-05, 65.0, 58.0
андрей, @default_class, 6.145102088339627e-05, 213.0, 111.0
спецификация, @default_class, 0.00011020794045180082, 382.0, 198.0
химия, @default_class, 1.6733141819713637e-05, 58.0, 35.0
сводиться, @default_class, 3.808232577284798e-05, 132.0, 118.0
посылать, @default_class, 3.519729943946004e-05, 122.0, 78.0
многопоточность, @default_class, 1.4136619938653894e-05, 49.0, 36.0
боев, @default_class, 3.0869763577356935e-05, 107.0, 72.0
нейросеть, @default_class, 0.00011742050264729187, 407.0, 85.0
приватный, @default_class, 5.5680975492578e-05, 193.0, 100.0
поверхностный, @default_class, 1.6444639186374843e-05, 57.0, 41.0
отставать, @default_class, 2.6253723262925632e-05, 91.0, 77.0
положить, @default_class, 6.722107355017215e-05, 233.0, 197.0
юзабилить, @default_class, 1.6156138372025453e-05, 56.0, 39.0
проявлять, @default_class, 2.4811211915221065e-05, 86.0, 78.0
коллекция, @default_class, 0.0001249215565621853, 433.0, 144.0
местоположение, @default_class, 4.61603922303766e-05, 160.0, 112.0
предупреждать, @default_class, 2.6253723262925632e-05, 91.0, 87.0
продолжительность, @default_class, 3.548580207279883e-05, 123.0, 91.0
await, @default_class, 4.010184056824073e-05, 139.0, 30.0
увлекательный, @default_class, 2.0195171600789763e-05, 70.0, 65.0
